,S/N,Type,ABIA STATE,ADDRESS,Latitude,Longitude
,1,Daily,Ariaria Internatonal Market,"205 Faulks Rd, Ariaria, 450102,Aba, Abia.",5.107690000,7.327363000
,2,Daily,Umunna Nsulu Daily Market,"45115, Umuosu, Abia",,
,3,Daily,Cemetery Market/Eziukwu Market,"Cemetery, Aba 450103, Aba, Abia",5.102006000,7.357720000
,4,Daily,Ekeoha Shopping Plaza,"43 Ibere Str, Aba, Akoli 450103, Aba, Abia",5.094180000,7.371694000
,5,Daily,New Market,"Ariaria 450102, Aba, Abia",5.109833000,7.341541000
,6,Morning,Morning Market,"450102, Aba, Abia",5.102305000,7.387382000
,7,Daily,Ngwa Road Market/ Ahia Ohuru,"Aba 450103, Aba, Abia",5.101981000,7.374278000
,8,Daily,Umangasi Market,"450102, Aba, Abia",5.130073000,7.358907000
,9,Daily,Ehere Modern Market (Ogbor Hill),"Umu Okahia 453106, Aba, Abia",5.175318000,7.385745000
,10,Daily,Ubani Ibeku Ultramodern  Market,"HGR4+GRG, 440236, Umuahia, Abia",5.607440000,7.511382000
,11,Daily,Orie Ohabiam Electronics Market,Aba North,5.078309000,7.342728000
,12,Morning,Umunteke Morning Market,"W8F7+MRW, 452109, Akwete, Abia",4.924462000,7.314591000
,13,Daily,Asa Nnentu Motor Spare Parts Market,"Ala-Oji 450103, Aba, Abia",5.064831000,7.328251000
,14,Daily,Ahia Ukwu Olokoro Market,"Olokoro Road, 440102, Umuahia, Abia",6.615457000,7.243040000
,15,Daily,Afaha Ntigha Owo Market,"5F7P+93J, 453106, Mgboko, Abia",5.17515300,7.4959800
,16,Daily,Good Morning Market,"39XQ+5JQ, Aba 450102, Aba, Abia",5.104445000,7.387222000
,17,Daily,Afor Ibeji Market,"FFPF+HC9, Afaraukwu Rd, 440002, Umuahia, Abia",5.486445000,7.473617000
,18,Daily,Eke Isuochi Market,"XCQ2+PQV, Eke Isuochi market, Ugwueme",5.989498000,7.401867000
,19,Daily,Agbo Miri Market,"MPWQ+X2P, Amogudu 442110, Abiriba, Abia",5.697691000,7.737579000
,20,Daily,Amaokwe Afor Market,"QM29+X7F, 441123, Amaokwe Item, Abia",5.752573000,7.668167000
,21,Daily,Nkwo New Market,"JRWG+5RH, 442108, Elu, Abia",5.645569000,7.827261000
,22,Daily,Umuiheukwu Market,"2B Ukaegbu Rd, Ogbor Hill 453106, Aba Abia",5.108430000,7.403645000
,23,Daily,Orie Ugba Market,"Ugba Ibeku, Abam St, Umuahia 440236, Umuahia, Abia",5.537328000,7.499848000
,24,Daily,Amaogbonna Market,"Osusu Rd, Aba 450103, Aba, Abia",5.111666000,7.362335000
,25,Daily,Mbaraikoro Market,"Opobo Rd, 453108, Aba, Abia",5.077538000,7.423641000
,26,Daily,"Afule Market, Abayi, Aba","Aba-Owerri Rd, Abayi 453115, Aba, Abia",5.139045000,7.35116000
,27,Shopping mall,"Market Square, Ukwa East.","Aba 450101, Aba, Abia",5.14574700,7.368951000
,28,Daily,Amaugba Market,"Umu Ohia 453102, Aba, Abia",5.170648000,7.387379000
,29,Daily,Umukalika Market,"450101, Aba, Abia",5.121930000,7.373298000
,30,Daily,A Line Ariaria Market,"Ariaria 450102, Aba, Abia",5.113073000,7.334568000
,31,Daily,Asamoka Market,"453111, Aba, Abia",5.097858000,7.315195000
,32,Daily,Akanu Market,"JVF6+27W, Professor Kalu Ezera Rd, 442113, Ohafia, Abia",5.561166000,7.835831000
,33,Daily,Aba Market,"164 Faulks Rd, Abayi 450102, Aba, Abia",5.117891000,7.343951000
,34,Daily,Achiaru Market,"Ariaria 450102, Aba, Abia",5.107599000,7.350690000
,35,Daily,Eke-Akpara Market,"453111, Umuakpara, Abia",5.173353000,7.314402000
,36,Daily,Ndiolumbe Market,"451107, Umuohia, Abia",5.264106000,7.475203000
,37,Daily,Eziama Market,"20B Margret Avenue, Aba 430272, Aba, Abia",5.928282000,7.428908000
,38,Daily,Ahia Umudike,"440101, Umudike, Abia",6.397145000,7.506712000
,39,Daily,Abaa Market,"441111, Eziama, Abia",5.961447000,7.313776000
,40,Daily,Eke Market,"X8C2+CQC, 441111, Eziama, Abia",5.978768000,7.304968000
,41,Daily,Ekeobasi Market,"453115, Akpa, Abia",5.224399000,7.367191000
,42,Daily,Umuocho Market,"453106, Aba, Abia",5.131816000,7.423040000
,43,Daily,Abayi Ahiaorie Market,"453106, Aba, Abia",5.134580000,7.429652000
,44,Daily,Eziama Market,"20B Margret Avenue, Aba 430272, Aba, Abia",5.928572000,7.423415000
,45,Daily,Avonkwu Market,"440236,Umuahia, Abia",5.528221000,7.532239000
,46,Daily,Umungasi Market,"Aba, 450102, Abia",5.130062000,7.358746000
,47,Daily,Afor Asa Umunka Market,"453120, Asa-Umunka, Abia",5.04331000,7.327618000
,48,Daily,Umuihuoma Market,"453111, Aba, Abia",5.183208000,7.320693000
,49,Daily,Arochukwu Central Market,"442101, Arochukwu, Abia",5.390365000,7.899284000
,50,Daily,Ugbo Market,"442101, Arochukwu, Abia",5.386664000,7.88336000
,51,Daily,Mgbala Aogo Market,"Ohafia-Arochukwu Rd, 441120, Ututu, Abia",5.429509000,7.913718000
,52,Daily,Eleoha Market,"441120, Abia",5.434881000,7.916561000
,53,Daily,Onu Ogo Market,"441120, Ututu, Abia",5.42974400,7.916604000
,54,Daily,Asaga Market,"Professor Kalu Ezera Rd, 442113, Ohafia, Abia",5.624122000,7.861237000
,55,Daily,"Akamba Market, Akanu Ohafia","Akanu/Arochukwu Rd, Behind Akanu Motor Park, Opp Paradise Motel, Akanu, Ohafia",5.622588000,7.857123000
,56,Daily,Ahuma Market,"442115, Ohafia, Abia",5.48991300,7.77225900
,57,Daily,Ebem Daily Market,"442112, Ohafia, Abia",5.632994000,7.830079000
,58,Daily,Ihechiowa Market,"Isiama Ohafia Rd, 442104, Arochukwu, Abia",5.455788000,7.883581000
,59,Daily,Agborji Market,"441118, Uzuakoli, Abia",5.602368000,7.600890000
,60,Daily,Town Market,"442107, Amaeke Abam, Abia",5.603043000,7.678138000
,61,Daily,Ndiwo Market,"441114, Ogo Omerenama, Abia",5.505847000,7.683877000
,62,Daily,Umuhu Amabuelu Market,"442110, Achi, Abia",5.65049300,7.659588000
,63,Daily,Ubani Ibeku Ultramodern Market,"440236, Umuahia, Abia",5.591570000,7.507054000
,64,Daily,Ohokobe Market,"Ohokobe Ndume, Mbaocha, Umuachia",5.516434000,7.505627000
,65,Daily,Eluama Market,"441115, Uzukoli, Abia",5.637702000,7.557611000
,66,Daily,Amaeke Amaeke Market,"441118, Uzuakoli, Abia",5.650016000,7.619856000
,67,Daily,Nkwomafia Ozuitem,"441118, Uzuakoli, Abia",5.618854000,7.617405000
,68,Daily,Orie Ugba Market,"Ugba Ibeku, Abam St, Umuahia 440236, Umuahia, Abia",5.537275000,7.499687000
,69,Daily,Ahia Umudike ,"440101, Umudike, Abia",6.571802000,7.858274000
,70,Daily,Umuokehi Obiohuru Market,"Umuokehi Obophuru Rd, Orioamanyi, Umu Egwu",5.593375000,7.486512000
,71,Daily,Eziufu Okoko-Eziufu Market,"441121, Okoko Item, Abia",5.740802000,7.636066000
,72,Daily,Ebele Market Igbere,"1 Goodluck Ebele Jonathan Rd, 760253, Igbere, Abia",5.71489000,7.643847000
,73,Daily,Ahiaeke Oloko Daily Market,"Ahiaeke, Oloko",5.373168000,7.536739000
,74,Daily,Ahia Ndoro,Ndoro Oboro,5.43931600,7.565270000
,75,Daily,Umuogele Market,"45117, Umuakwu, Abia",5.351387000,7.51418000
,76,Daily,Ahia Ukwu Olokoro Market,"Olokoro Rd, 440102, Umuahia, Abia",5.479556000,7.5013130
,77,Daily,Orienta Market,"Ahia, Orienta Rd, Amizi",5.369348000,7.584082000
,78,Daily,Ahia Eke,"440104, Umuahia, Abia",5.504058000,7.540446000
,79,Daily,Umuika Market,"440102, Amizi, Abia",5.469461000,7.513632000
,80,4.0 M.D,Ebo MarketSquare,"440106, Amizi, Abia",5.465615000,7.501406000
,81,Daily,"Afo Ibeji Market, Old Umuahia","Afaraukwu Rd, 440221, Umuahia, Abia",5.486467000,7.473367000
,82,Daily,Ariam Village Market,"440110, Obohia, Abia",5.342311000,7.623039000
,83,Daily,Umuahia Main Market,"Ubani Rd, 440236, Umuawa, Abia",5.591418000,7.506300000
,84,Daily,Eziala Market,"451116, Mbawsi, Abia",5.375072000,7.409551000
,85,Daily,Umuobiri Market,"451112, Obiakabia, Abia",5.334755000,7.383510000
,86,Daily,Isi Eketa Market,"Obi Ekwensu Rd, 451114, Umu Akwa, Abia",5.291335000,7.392576000
,87,Daily,Amaoji Market,"PH-Enugu Expy, 451109, Osusu, Abia",5.39058000,7.376903000
,88,Daily,Umuosiku Market,"453106, Imu-Ikala, Abia",5.194899000,7.468488000
,89,Daily,Akpa Market,"453115, Akpa, Abia",5.225039000,7.376999000
,90,Daily,Umugba Market,"453106, Mnenu, Abia",5.273959000,7.510852000
,91,Daily,Nkwo Okpu Market,"440001, Aba, Abia",5.274055000,7.510916000
,92,Daily,Umunkpeyi Nvosi Community Market,"Aba-Umuahia Rd, 451107, Umu Nkpe, Abia",5.333719000,7.479412000
,93,Daily,Omoba Daily Market,"451114, Omoba,  Abia",5.245040000,7.409405000
,94,Daily,Ntigha Owo Market,"453106, Mgboko, Abia",5.163785000,7.485225000
,95,Daily,Afule Market,"Aba-Owerri Rd, Abayi 453115, Aba, Abia",5.13904000,7.351154000
,96,Daily,Umuawala Market,"451109, Umuekpe, Abia",5.408339000,7.364777000
,97,Daily,Umualata Market,"451111, Ama Apu, Abia",5.424182000,7.396926000
,98,Daily,Umunnachi Market,"451108, Umuekpe, Abia",5.404750000,7.349178000
,99,Daily,Ahia Eke Umuchima Market,"451110, Obiakabia, Abia",5.362461000,7.344002000
,100,Daily,Umuome Market,"451111, Umu Ezeukwu, Abia",5.419284000,7.460342000
,101,Daily,Omuna Uzor Market,"453111, Aba, Abia",5.084138000,7.293107000
,102,Daily,Umuode Market,"451108, Amaorji, Abia",5.396312000,7.340176000
,103,Daily,Ezidonaife Market,"453108, Obete Ukwu. Abia",5.10563300,7.506087000
,104,Daily,Nkworji Market,"451113, Obiakania, Abia",5.353990000,7.324105000
,105,Daily,Ekeama Market,"Unnamed Rd, 441109, Eluama, Abia",5.766215000,7.4948940
,106,Daily,Ukwuwangwu Market,"Okigwe-Abba Omega Rd, 441105, Nayu, Abia",5.82849500,7.435443000
,107,Daily,Nkwo Achara Market,"441106, Uturu, Abia",5.834494000,7.429588000
,108,Daily,Ozara Market,"441121, Alayi, Abia",5.7270040,7.606423000
,109,Daily,Mbaraigwe Market,"441111, Eluama, Abia",5.930726000,7.433549000
,110,Daily,Ahu-nta Market,"441104, Amangwu, Abia",5.824292000,7.513761000
,111,Daily,Jakirija Market,"441111, Ishiagu, Abia",6.003634000,7.4722540
,112,Daily,Abara Abia Market,"441111, Eziama, Abia",5.960770000,7.3130120
,113,Daily,Umunteke Market,"Asa-Akwete- Obohia Rd, 452109, Umeku, Abia",4.920089000,7.307125000
,114,Daily,Umuagwa Market,"453106, Umueze Igbe, Abia",5.115221000,7.459990000
,115,Daily,Ossah Market,"Mbaise Rd, Eziama Ossah, 440236, Umuahia, Abia",5.536204000,7.461784000
,116,Daily,Afugiri Market,"440236, UmUuekwule, Abia",5.600249000,7.475759000
,117,Daily,Dikeukwu Market,"440221, Umuokpara, Abia",5.558830000,7.418518000
,118,Daily,Apumiri Market,"440221, Apumiri, Abia",5.514085000,7.447668000
,119,Daily,Ogwumabiri Obizi Market,"Mbasie Rd, 440236, Umuhia, Abia",5.514287000,7.351567000
,120,Daily,Ummuopara Community Market,,,
,121,Daily,Okwu Market,"440102, Amizi, Abia",5.466842000,7.510829000
,122,Daily, Amaugba Market,"451116, Amaorji, Abia",5.388296000,7.385794000
,123,Daily,,,,
,124,Daily,Umuocham Market,"100 Umuocham Rd, Abayi 450272, Aba, Abia",5.129058000,7.331183000
,125,Daily,Ntigha Onicha Market,"453106, Umueze Igbe, Abia",5.146629000,7.509257000
,126,Daily,Obegu Market,"Arugwu Ugwunagbo, near Aba",4.985992000,7.327565000
,127,Daily,Obiga Market,"452114, Asa, Abia",4.963896000,7.272351000
,128,Daily,Nwaebule Market,"Opobo Rd, 453109, Azumini, Abia",4.946764000,7.480905000
,129,Daily,Umudosi Market,"453108, Umueze Igbe, Abia",5.107244000,7.488191000
,130,Daily,Umuezigbe Market,"453110, Obete Ukwu, Abia",5.073282000,7.505022000
,,,,,,
,,,ADAMAWA STATE,,,
,131,Night,New Market Numan(Night Market),"643108, Numan, Adamawa",9.467684000,12.03686400
,132,Daily,Bula Market,"Numan Rd, Jambutu 640101, Jimeta, Adamawa",9.286325000,12.43205000
,133,Daily,Yola Market,"Wurohausa, Yola, Adamawa",9.205750000,12.48337500
,134,Daily,Mubi Market,"650101, Mubi, Adamawa",10.28363100,13.25174100
,135,Daily,Hong Central Market,"A4, 650111, Hong, Adamawa",10.23120400,12.92913500
,136,Daily,Jimeta Ultra Modern Market,"Jimeta 640101, Jimeta, Adamawa",9.272579000,12.43766500
,137,Daily,Kasuwan Gwari Market,"Karewa 640101, Jimeta, Adamawa",9.250039000,12.44957400
,138,Daily,Old Market Ganye,"641113, Ganye, Adamawa",8.431994000,12.05170200
,139,Daily,Old Market Numan,"643107, Numan, Adamawa",9.466572000,12.02752200
,140,Daily,Jada Main Market,"641107, Jada, Adamawa",8.759384000,12.15414500
,141,Daily,Bula Market,"Numan Rd, Jambutu 640101, Jimeta, Adamawa",9.286187000,12.43203900
,142,Daily,Lafia Market,"6421117, Lafia, Adamawa",9.658459000,11.81866400
,143,Daily,Madagali Market,"Unnamed Rd, 651102, Madagali, Adamawa",10.9230420,13.61971900
,144,Daily,"Camp Market, Damare","652101, Damare, Adamawa",9.321166000,12.44910600
,145,Daily,Mayo Nguli Market,"650114, Mayo Nguli, Adamawa",10.11487300,13.21581700
,146,Daily,Jaga Jaga Market,"Mubi Rd, 652101, Njobbore, Adamawa",11.28164500,12.97801000
,147,Daily,Market in Paka,"650114, Mayo Nguli, Adamawa",10.06301300,13.18561500
,148,Daily,"Bajaure Market, Maplau","650211, Maplau, Adamawa",10.15478200,13.2227650
,149,Daily,"Jabilamba Market, Jiberu","652108, Jiberu, Adamawa",9.49986800,12.57908600
,150,Daily,"Lira Central Market, Mubi.","650112, Mubi, Adamawa",10.29219800,13.31396000
,151,Daily,"Ngurore Market, Ngugore.","Gombe Road, 640284, Ngurore, Adamawa",9.301866000,12.23394700
,152,Daily,"Gada Market, Mubi.","650101, Mubi, Adamawa",10.28448400,13.30862200
,153,Daily,Imburu Market.,"643115, Imburu, Adamawa",9.485801000,12.02180700
,154,Daily,Larmurde Market,"642114, Larmurde, Adamawa",9.61112900,11.79492900
,155,Daily,Sabon Gari Mildu Market,"651112, Damai, Adamawa",10.79847700,13.57247100
,156,Daily,Bajiye Market,"8Q37+559, 642109, Bali, Adamawa",9.305233000,11.76296900
,157,Daily,Fufore Sunday Market,"640106, Kapo, Adamawa",9.216709000,12.64456800
,158,Daily,Gyawana Main Market,"Unnamed Rd, 642104, Giwano, Adamawa",9.566237000,11.88544800
,159,Daily,Onyedika Udechukwu Auto Spare Parts Market,"L57, Ungwan Alkalawa",9.266274000,12.4567630
,160,Daily,Jaga Jaga Market,"652101, Njobbore, Adamawa",9.341864000,12.5069270
,161,Daily,23 Brigade Mammy Market,"Bargare 640101, Jimeta, Adamawa",9.241591000,12.42621500
,162,Daily,Garkida Main Market,"650109, Garkida, Adamawa",10.42434300,12.55904500
,163,Daily,Duda Central Market,"650112, Duda Wamngo, Adamawa",10.27822600,13.34387200
,164,Daily,Small Market,"650211, Mubi, Adamawa",10.26930900,13.28720500
,165,Daily,Kasuwan Dare Market,"Maiduguri Rd, 651103, Anjawa, Adamawa",10.61883200,13.38412900
,166,Daily,Kavoa Market,"651105, Anjawa, Adamawa",10.57051600,13.45873400
,167,Daily,Mobol Central Market,"650107, Zum ,Adamawa",10.11135600,13.05272300
,168,Daily,Michika Market,"651103, Michika, Adamawa",10.74540200,13.42760100
,169,Daily,Bazza Market,"657108, Bazza, Adamawa",10.5691690,13.32137600
,170,Daily,Kubi Market,"657108, Kubi, Adamawa",10.66316300,13.29946200
,171,Daily,Girzaka Central Market,"650112, Gova, Adamawa",10.35882900,13.37766200
,172,Daily,Gazha Central Market,"650112, Duvi, Adamawa",10.43178800,13.41985300
,173,Daily,Demsa Market,"642103, Demsa, Adamawa",9.387597000,12.32016400
,171,,,,,
,172,,,,,
,,,AKWA IBOM,,,
,174,Daily,"Itam Market, Uyo","A342, 520108, Uyo, Akwa Ibom",5.046646000,7.898839000
,175,Daily,Itam Timber Market,"531116, Uyo",5.054562000,7.884170000
,176,Daily,Akpan Andem Market,"520102, Uyo",5.016455000,7.924383000
,177,Daily,Nsukara Market,"Nwaniba Rd, 520101, Uyo, Akwa Ibom",5.025951000,7.983962000
,178,Daily,Ibup Itam Main Market ,"Itu Rd Off Ikot Ekpene Rd, 520262, Uyo",5.047980000,7.900221000
,179,Daily,Use-Ofot Market,"520101, Uyo, Akwa Ibom",5.041623000,7.913482000
,180,Daily,Abak Market,"532101, Abak, Akwa Ibom",4.985387000,7.786081000
,181,Daily,Utu Ikot Ekpenyong Market,"530101, Akwa Ibom",5.17072200,7.746852000
,182,Daily,"Ibeno Market, Upenekang","520118, Upenekang, Akwa Ibom",4.571901000,7.968071000
,183,Daily,Ikot Ibup Main Market,"Itu Rd, 520262, Uyo, Akwa Ibom",5.048469000,7.900540000
,184,Daily,Ikot Osurua Market,"A342, 530102, Ikot Ekpene, Akwa Ibom",5.163208000,7.668934000
,185,Daily,Etinan Main Market,"522102, Etinan, Akwa Ibom",4.835210000,7.851447000
,186,Daily,Udua Nka Market,"521103, Eket, Akwa Ibom",4.64094900,7.927619000
,187,Daily,Mbierebe Market,"Aka Etinan Rd, 522110, Uyo",4.998906000,7.895726000
,188,Daily,Akpan Andem Market,"520102, Uyo, Akwa Ibom",5.01660400,7.924597000
,189,Daily,Mammi Market UUTH,"Unnamed Road, 520104, Uyo, Akwa Ibom",5.011109000,7.859349000
,190,Daily,Idu Market,"521110, Idu, Akwa Ibom",4.961972000,7.943096000
,191,Daily,Ikot Akpatek Market,,,
,192,Daily,AkpanEkpo Market,"520103, Uyo, Akwa Ibom",5.038766000,7.923864000
,193,Daily,Ikot Ukpong Market,"531102, Ibiono Ewura, Akwa Ibom",5.393050000,7.795518000
,194,Daily,Urua Ekpa Market,"520113, Uyo, Akwa Ibom",5.063432000,7.920118000
,195,Daily,Ikot Abasi Market,"JH8V+F5V, 534102, Ikot Abasi, Akwa Ibom",4.62119300,7.593856000
,196,Daily,Ikot Okubo Market,"Ikot Okubo Market, Abak Rd, 520101, Uyo, Akwa Ibom",5.029233000,7.891981000
,197,Daily,Ikot Abia Market,"520102, Uyo, Ikwa Ibom",4.681336000,7.737151000
,198,Daily,Daily Market,"110 Abak Rd, 520261, Uyo, Akwa Ibom",5.110842000,7.925445000
,199,Daily,Ikot Obong Ukam Market,"JQXG+H33, 524106, Ukam, Akwa Ibom",4.652720000,7.774605000
,200,Daily,Udo Ekpong Daily Market,"2WV8+JH5, udo ekong street, close to annex backgate, Udo Okonkwo St, Uyo",5.044134000,7.916535000
,201,Daily,Nung Udoe Market,"Aka Obot idim rd, beside EcoBank, 521110, Nung Udoe, Akwa Ibom",4.918571000,7.963883000
,202,Daily,Afaha Market,"521110, Afaha, Akwa Ibom",4.990684000,7.930342000
,203,Daily,Manamo Market,"Ekeng Afaha Obong, Ikot, Abak",5.02768300,7.751185000
,204,Daily,Mbiokporo Market,"Aka Etinan Rd, 522110, Uyo",4.975941000,7.873229000
,205,Daily,NYSC Mammy Market,"V3G3+MFF, NYSC Camp Ikot Itie Idung, Nsit Atai LGA, Ikot Mkpo",4.876800000,8.053572000
,206,Daily,Anua Market,"13 Eda St, 520101, Uyo, Akwa Ibom",5.027330000,7.962680000
,207,Daily,Udua Nka Market,"JWRH+72V, 521103, Eket, Akwa Ibom",4.640756000,7.927544000
,208,Daily,Ata Ntak  Market,"533108, Ikot Ukpong, Akwa Ibom",4.938238000,7.777527000
,209,Daily,"Mbiabong Market II, by Shelter Afrique","Oron Rd, 520102, Uyo",4.988877000,7.971215000
,210,Daily,Mkpat Enin Market,"524106, Nkpat Enin, Akwa Ibom",4.734374000,7.749109000
,211,Daily,Ikot Abia Market,"MPJP+CVW, 524106, Ikot, Akwa Ibom",4.682418000,7.73731800
,212,Daily,Oron Beach Market,"221 Oron - Ikot Abasi Rd, 523120, Oron, Akwa Ibom",4.827597000,8.233367000
,213,Daily,Ikot Usop Market,"MPP2+PPR, Abak - Ikot Akan Rd, 534104, Ikot Ubo Akpan, Akwa Ibom",4.687207000,7.701869000
,214,Daily,Oboyo Ikot Ita Market,"522110, Uyo, Akwa Ibom",4.951716000,7.895446000
,215,Daily,Ikot Ekpe Market (Udua Ebot),"520102, Uyo, Akwa Ibom",5.020328000,7.881049000
,216,Daily,Akpan Andem Market,"520102, Uyo, Akwa Ibom",5.016818000,7.924705000
,217,Daily,Ediene Ikot Ebom Market,"531114, Ukpom, Akwa Ibom",4.865411000,7.758735000
,218,Daily,Ikot Ntot Market,"Abak-Ikot Akan Rd, 533113, Ikot Ntot, Akwa-Ibom",4.7219780,7.712841000
,219,Daily,Market Square Uyo,"Itiam Etoi Rd, 520102, Uyo, Akwa Ibom",4.998510000,7.940497000
,220,Daily,Okom Market,"532111, Ikot, Akwa Ibom",4.626031000,7.812203000
,221,Daily,Ukam Market,"524106, Ukam, Akwa Ibom",4.656902000,7.782233000
,222,Daily,ESA Market,"530113, Ntak Ekpenyong, Akwa Ibom",5.066206000,7.685933000
,223,Daily,"Ediene Ikot Ebom, Editaha Market","Abak, Oron - Ikot Abasi Rd",4.862348000,7.76741100
,224,Daily,Eda Market,"277 Nwaniba Rd, 520101, Uyo",5.087897000,7.948299000
,225,Daily,Godiajel Market,"18 Calabar Street, 520103, Uyo, Akwa Ibom",5.029909000,7.917989000
,226,Daily,Eskor Mini Market,"2W44+37H, Aka Etinan Rd, 520102, Uyo, Akwa Ibom",5.005507000,7.905745000
,227,Daily,Urua Mbakara Market,"5PM7+G8W, 530101, Ikot Ekpene, Akwa Ibom",5.222554000,7.731788000
